trace_name,total_original_bytes,total_out_bytes,total_overhead,time_delay_seconds
alexa_5_30s_burst_5,81254,7500000,7418746,94.259561
do_dogs_dream_5_30s_burst_5,139140,7500000,7360860,96.549363
do_you_like_cats_or_dogs_5_30s_burst_5,84039,7500000,7415961,96.771358
flip_a_coin_5_30s_burst_5,57930,7500000,7442070,96.959851
give_me_a_dinosaur_fact_5_30s_burst_5,105386,7500000,7394614,95.779698
good_morning_5_30s_burst_5,119414,7500000,7380586,95.523174
help_5_30s_burst_5,122518,7500000,7377482,96.334145
how_deep_is_the_indian_ocean_5_30s_burst_5,76442,7500000,7423558,96.640594
how_do_you_spell_appreciate_5_30s_burst_5,133182,7500000,7366818,95.061931
how_far_away_is_the_moon_5_30s_burst_5,112923,7500000,7387077,94.713434
how_hot_is_the_sun_5_30s_burst_5,230804,7500000,7269196,94.563852
how_many_days_are_in_september_5_30s_burst_5,81598,7500000,7418402,95.626297
how_many_days_in_a_year_5_30s_burst_5,91284,7500000,7408716,96.831057
how_many_days_until_christmas_5_30s_burst_5,97466,7500000,7402534,96.139175
how_many_days_until_thanksgiving_5_30s_burst_5,88942,7500000,7411058,97.953378
how_many_fantasy_points_dose_lebron_james_have_5_30s_burst_5,167002,7500000,7332998,94.431392
how_many_ounces_in_a_pound_5_30s_burst_5,76439,7500000,7423561,94.880434
how_many_seconds_are_in_a_year_5_30s_burst_5,134929,7500000,7365071,95.904214
how_many_teaspoons_are_in_a_tablespoon_5_30s_burst_5,85461,7500000,7414539,95.215873
how_much_is_an_ounce_of_gold_5_30s_burst_5,119281,7500000,7380719,96.23063
how_old_are_you_5_30s_burst_5,74635,7500000,7425365,96.414908
how_old_is_henry_winkler_5_30s_burst_5,90372,7500000,7409628,96.802421
how_old_is_serena_williams_5_30s_burst_5,93228,7500000,7406772,96.593508
how_tall_is_steph_curry_5_30s_burst_5,104677,7500000,7395323,94.8421
how_tall_is_the_empire_state_building_5_30s_burst_5,108297,7500000,7391703,94.283608
how_tall_is_the_rock_5_30s_burst_5,68324,7500000,7431676,96.819285
is_tomato_a_fruit_or_a_vegetable_5_30s_burst_5,103563,7500000,7396437,95.889653
pick_a_number_5_30s_burst_5,82918,7500000,7417082,95.744702
play_NPR_917_wvxu_5_30s_burst_5,1148479,7500000,6351521,78.118587
set_an_timer_for_30s_5_30s_burst_5,75252,7500000,7424748,95.916667
set_volume_to_five_5_30s_burst_5,44642,7500000,7455358,97.47317
surprise_me_5_30s_burst_5,951269,7500000,6548731,95.502257
talk_like_pirate_5_30s_burst_5,232405,7500000,7267595,96.043115
tell_me_a_barbecue_joke_5_30s_burst_5,88453,7500000,7411547,96.52119
tell_me_a_coffee_Joke_5_30s_burst_5,95686,7500000,7404314,96.629556
tell_me_a_fun_fact_5_30s_burst_5,89122,7500000,7410878,96.466214
tell_me_a_halloween_hack_5_30s_burst_5,82281,7500000,7417719,97.078961
tell_me_a_joke_5_30s_burst_5,85663,7500000,7414337,97.025894
tell_me_a_spooky_story_5_30s_burst_5,929084,7500000,6570916,97.247246
tell_me_a_star_war_joke_5_30s_burst_5,74084,7500000,7425916,97.262925
tell_me_a_story_about_robot_5_30s_burst_5,1227800,7500000,6272200,91.584177
tell_me_some_good_news_5_30s_burst_5,150507,7500000,7349493,97.252918
tell_me_something_weird_5_30s_burst_5,167918,7500000,7332082,97.06679
translate_good_morning_to_spanish_5_30s_burst_5,102716,7500000,7397284,95.199861
what_are_the_most_popular_boos_this_week_5_50s_burst_5,170753,7500000,7329247,96.460606
what_are_the_standings_in_the_English_Premier_League_5_30s_burst_5,200910,7500000,7299090,93.154349
what_are_you_thankful_for_5_30s_burst_5,105804,7500000,7394196,96.513901
what_happend_in_the_midterm_elections_5_30s_burst_5,204679,7500000,7295321,93.216256
what_is_Roblox_5_30s_burst_5,125293,7500000,7374707,97.184807
what_is_gluten_5_30s_burst_5,150877,7500000,7349123,93.390806
what_is_homecoming_about_5_30s_burst_5,210540,7500000,7289460,96.413838
what_is_in_the_news_5_30s_burst_5,789440,7500000,6710560,97.668116
what_is_my_sport_update_5_30s_burst_5,222550,7500000,7277450,89.517897
what_is_my_traffic_report_5_30s_burst_5,119218,7500000,7380782,94.906965
what_is_the_AFC_North_Standings_5_30s_burst_5,148770,7500000,7351230,94.107742
what_is_the_best_comedy_movie_5_30s_burst_5,222256,7500000,7277744,93.444174
what_is_the_capital_of_spain_5_30s_burst_5,76374,7500000,7423626,96.074768
what_is_the_colts_pats_score_5_30s_burst_5,153836,7500000,7346164,95.374996
what_is_the_date_tomorrow_5_30s_burst_5,68932,7500000,7431068,97.180779
what_is_the_fourth_book_in_the_narnia_series_5_30s_burst_5,119118,7500000,7380882,95.175275
what_is_the_history_of_labor_day_5_30s_burst_5,230961,7500000,7269039,95.12407
what_is_the_longest_word_5_30s_burst_5,249620,7500000,7250380,96.826861
what_is_the_number_one_song_this_week_5_30s_burst_5,102675,7500000,7397325,95.695174
what_is_the_price_of_bitcoin_5_30s_burst_5,102103,7500000,7397897,96.146969
what_is_the_question_of_the_day_5_30s_burst_5,221919,7500000,7278081,95.573675
what_is_the_scariest_movie_of_all_time_5_30s_burst_5,122964,7500000,7377036,96.124939
what_is_the_score_of_the_eagles_game_5_30s_burst_5,116676,7500000,7383324,96.031512
what_is_the_score_of_the_red_sox_game_5_30s_burst_5,146992,7500000,7353008,94.450454
what_is_the_time_in_Singarpore_5_30s_burst_5,89661,7500000,7410339,92.928262
what_is_the_weather_5_30s_burst_5,113379,7500000,7386621,97.206143
what_is_the_weather_for_sunday_5_30s_burst_5,115733,7500000,7384267,94.610315
what_is_the_weather_going_to_be_like_this_weekend_5_30s_burst_5,132278,7500000,7367722,95.23555
what_is_trending_5_30s_burst_5,167364,7500000,7332636,97.631185
what_is_your_favorite_flower_5_30s_burst_5,95714,7500000,7404286,95.903595
what_is_your_favorite_hobby_5_30s_burst_5,86688,7500000,7413312,95.966489
what_is_your_favorite_sport_5_30s_burst_5,114732,7500000,7385268,96.946469
what_is_zero_divided_by_zero_5_30s_burst_5,99639,7500000,7400361,95.044517
what_movies_are_playing_5_30s_burst_5,69392,7500000,7430608,96.613027
what_the_other_word_for_happy_5_30s_burst_5,114595,7500000,7385405,96.368794
what_time_is_it_5_30s_burst_5,57372,7500000,7442628,97.398522
what_time_is_it_in_Hawaii_5_30s_burst_5,69553,7500000,7430447,96.590619
what_time_is_sunset_5_30s_burst_5,98400,7500000,7401600,96.155489
when_dose_daylight_saving_time_end_5_30s_burst_5,124413,7500000,7375587,95.130882
when_is_hanukkah_5_30s_burst_5,94847,7500000,7405153,97.30357
when_is_the_next_full_moon_5_30s_burst_5,128397,7500000,7371603,95.101654
where_did_yoda_live_5_30s_burst_5,150028,7500000,7349972,96.678116
where_is_mount_rushmore_5_30s_burst_5,237864,7500000,7262136,96.838671
who_do_you_love_5_30s_burst_5,98605,7500000,7401395,96.150147
who_is_in_mastodon_5_30s_burst_5,84762,7500000,7415238,96.920778
who_is_playing_monday_night_football_5_30s_burst_5,101812,7500000,7398188,94.998013
who_is_winning_the_world_series_5_30s_burst_5,80909,7500000,7419091,95.686545
who_is_your_favorite_author_5_30s_burst_5,126263,7500000,7373737,96.021775
who_is_your_favorite_poet_5_30s_burst_5,97107,7500000,7402893,97.082851
who_is_your_favorite_superhero_5_30s_burst_5,99579,7500000,7400421,97.051161
who_plays_wolverine_in_xmen_5_30s_burst_5,88636,7500000,7411364,96.049247
who_scored_for_the_golden_knights_5_30s_burst_5,124811,7500000,7375189,96.024554
who_wrote_anna_karenina_5_30s_burst_5,82779,7500000,7417221,95.713067
